Name,Latitud,Longitud,Tipos
baúl BAR,40.4394019,-3.7081076,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Tapa's Bar,40.4394189,-3.7080808,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
SIDRERÍA,40.4383432,-3.7079958,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
La Esquina del 98,40.43943599999999,-3.708066,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
La Caleta,40.437754,-3.713905,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
KOMKI Smoked BBQ,40.439244,-3.7115427,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Scrum Rugby Bar,40.4397596,-3.712196899999999,"['bar', 'point_of_interest', 'establishment']"
Taberna del Chato Argüelles,40.43834390000001,-3.7139468,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Cervecería Contraluz,40.43819610000001,-3.714054999999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Venta El Segoviano Madrid,40.43751629999999,-3.712518299999999,"['bar', 'point_of_interest', 'establishment']"
Restaurante Cervecería La Rasilla,40.4390698,-3.7108733,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
